Step 0000 | Loss: 12697.5684 | L0: 1075.0 | Dead: 0
Step 0001 | Loss: 12381.7129 | L0: 1075.0 | Dead: 0
Step 0002 | Loss: 9486.3193 | L0: 1075.0 | Dead: 0
Step 0003 | Loss: 8145.9341 | L0: 1075.0 | Dead: 0
Step 0004 | Loss: 7193.5054 | L0: 1075.0 | Dead: 0
Step 0005 | Loss: 6997.1904 | L0: 1075.0 | Dead: 0
Step 0006 | Loss: 6440.8691 | L0: 1075.0 | Dead: 0
Step 0007 | Loss: 5804.2900 | L0: 1075.0 | Dead: 0
Step 0008 | Loss: 5510.4463 | L0: 1075.0 | Dead: 0
Step 0009 | Loss: 5763.1582 | L0: 1075.0 | Dead: 0
Step 0010 | Loss: 5308.4795 | L0: 1075.0 | Dead: 0
Step 0011 | Loss: 5262.7500 | L0: 1075.0 | Dead: 0
Step 0012 | Loss: 5139.5981 | L0: 1075.0 | Dead: 0
Step 0013 | Loss: 5237.5659 | L0: 1075.0 | Dead: 0
Step 0014 | Loss: 5232.2783 | L0: 1075.0 | Dead: 0
Step 0015 | Loss: 5167.1689 | L0: 1075.0 | Dead: 0
Step 0016 | Loss: 4901.6138 | L0: 1075.0 | Dead: 0
Step 0017 | Loss: 4630.4614 | L0: 1075.0 | Dead: 0
Step 0018 | Loss: 4456.2139 | L0: 1075.0 | Dead: 0
Step 0019 | Loss: 4391.0742 | L0: 1075.0 | Dead: 0
Step 0020 | Loss: 4256.3320 | L0: 1075.0 | Dead: 0
Step 0021 | Loss: 4009.0354 | L0: 1075.0 | Dead: 0
Step 0022 | Loss: 3976.4614 | L0: 1075.0 | Dead: 0
Step 0023 | Loss: 3717.3276 | L0: 1075.0 | Dead: 0
Step 0024 | Loss: 3488.6709 | L0: 1075.0 | Dead: 0
Step 0025 | Loss: 3388.3630 | L0: 1075.0 | Dead: 0
Step 0026 | Loss: 3404.0498 | L0: 1075.0 | Dead: 0
Step 0027 | Loss: 3147.8552 | L0: 1075.0 | Dead: 0
Step 0028 | Loss: 3143.0210 | L0: 1075.0 | Dead: 0
Step 0029 | Loss: 3097.4355 | L0: 1075.0 | Dead: 0
Step 0030 | Loss: 3197.8315 | L0: 1075.0 | Dead: 0
Step 0031 | Loss: 2916.2480 | L0: 1075.0 | Dead: 0
Step 0032 | Loss: 2931.6226 | L0: 1075.0 | Dead: 0
Step 0033 | Loss: 2694.5522 | L0: 1075.0 | Dead: 0
Step 0034 | Loss: 2604.6565 | L0: 1075.0 | Dead: 0
Step 0035 | Loss: 2659.0845 | L0: 1075.0 | Dead: 0
Step 0036 | Loss: 2619.6870 | L0: 1075.0 | Dead: 0
Step 0037 | Loss: 2565.5845 | L0: 1075.0 | Dead: 0
Step 0038 | Loss: 2535.1309 | L0: 1075.0 | Dead: 0
Step 0039 | Loss: 2391.7295 | L0: 1075.0 | Dead: 0
Step 0040 | Loss: 2450.9507 | L0: 1075.0 | Dead: 0
Step 0041 | Loss: 2336.0396 | L0: 1075.0 | Dead: 0
Step 0042 | Loss: 2347.1006 | L0: 1075.0 | Dead: 0
Step 0043 | Loss: 2166.6040 | L0: 1075.0 | Dead: 0
Step 0044 | Loss: 2371.2651 | L0: 1075.0 | Dead: 0
Step 0045 | Loss: 2212.3865 | L0: 1075.0 | Dead: 0
Step 0046 | Loss: 2150.1523 | L0: 1075.0 | Dead: 0
Step 0047 | Loss: 2301.5249 | L0: 1075.0 | Dead: 0
Step 0048 | Loss: 2068.0872 | L0: 1075.0 | Dead: 0
Step 0049 | Loss: 1959.3032 | L0: 1075.0 | Dead: 0
Step 0050 | Loss: 2020.6344 | L0: 1075.0 | Dead: 0
Step 0051 | Loss: 1992.2039 | L0: 1075.0 | Dead: 0
Step 0052 | Loss: 1922.5500 | L0: 1075.0 | Dead: 0
Step 0053 | Loss: 1974.5940 | L0: 1075.0 | Dead: 0
Step 0054 | Loss: 1934.6895 | L0: 1075.0 | Dead: 0
Step 0055 | Loss: 1893.3693 | L0: 1075.0 | Dead: 0
Step 0056 | Loss: 1763.0626 | L0: 1075.0 | Dead: 0
Step 0057 | Loss: 1821.5366 | L0: 1075.0 | Dead: 0
Step 0058 | Loss: 1805.4333 | L0: 1075.0 | Dead: 0
Step 0059 | Loss: 1838.9148 | L0: 1075.0 | Dead: 0
Step 0060 | Loss: 1828.1055 | L0: 1075.0 | Dead: 0
Step 0061 | Loss: 1786.3541 | L0: 1075.0 | Dead: 0
Step 0062 | Loss: 1747.2893 | L0: 1075.0 | Dead: 0
Step 0063 | Loss: 1642.9171 | L0: 1075.0 | Dead: 0
Step 0064 | Loss: 1682.1602 | L0: 1075.0 | Dead: 0
Step 0065 | Loss: 1712.4084 | L0: 1075.0 | Dead: 0
Step 0066 | Loss: 1700.0286 | L0: 1075.0 | Dead: 0
Step 0067 | Loss: 1679.3821 | L0: 1075.0 | Dead: 0
Step 0068 | Loss: 1648.3586 | L0: 1075.0 | Dead: 0
Step 0069 | Loss: 1613.5427 | L0: 1075.0 | Dead: 0
Step 0070 | Loss: 1616.0728 | L0: 1075.0 | Dead: 0
